epoch,batch,learning_rate,loss_total,loss_rot,loss_scale,mAP15,mAP30
1,0,0.0001,3.9461441040039062,1.6628895998001099,2.283254384994507,0.0,0.0
1,1,0.0001,3.348461151123047,1.1971265077590942,2.151334524154663,0.125,0.25
1,2,0.0001,3.484097957611084,1.215692400932312,2.2684054374694824,0.0,0.0
1,3,0.0001,3.1855411529541016,1.2550878524780273,1.9304533004760742,0.125,0.25
1,4,0.0001,3.225579261779785,0.970305323600769,2.2552740573883057,0.125,0.25
1,5,0.0001,3.518260955810547,1.1988434791564941,2.3194174766540527,0.0,0.125
1,6,0.0001,3.1727161407470703,0.9893805384635925,2.183335542678833,0.125,0.125
1,7,0.0001,3.7342991828918457,1.5010149478912354,2.2332842350006104,0.0,0.0
1,8,0.0001,2.993410110473633,1.0449445247650146,1.9484654664993286,0.0,0.125
1,9,0.0001,2.4200124740600586,0.9833933115005493,1.4366192817687988,0.0,0.125
1,10,0.0001,2.286342144012451,0.6009488105773926,1.6853933334350586,0.375,0.375
1,11,0.0001,1.9749550819396973,0.8189202547073364,1.1560348272323608,0.0,0.125
1,12,0.0001,1.8182755708694458,0.8023859262466431,1.0158896446228027,0.25,0.375
1,13,0.0001,1.9035815000534058,1.0029635429382324,0.9006179571151733,0.125,0.125
1,14,0.0001,1.754449486732483,1.2481536865234375,0.5062958002090454,0.25,0.25
1,15,0.0001,2.071842670440674,1.3774242401123047,0.6944184899330139,0.0,0.125
1,16,0.0001,1.5037896633148193,1.1261038780212402,0.3776857852935791,0.0,0.125
1,17,0.0001,1.4579675197601318,1.2192785739898682,0.23868897557258606,0.0,0.125
1,18,0.0001,1.5638079643249512,1.3362733125686646,0.22753463685512543,0.125,0.125
1,19,0.0001,1.529675841331482,1.4459028244018555,0.08377300202846527,0.0,0.0
1,20,0.0001,1.615931749343872,1.47539484500885,0.1405368447303772,0.0,0.0
1,21,0.0001,0.8263992071151733,0.703741192817688,0.12265804409980774,0.25,0.25
1,22,0.0001,0.8597492575645447,0.7522547245025635,0.1074945479631424,0.25,0.5
1,23,0.0001,1.195533275604248,1.1445040702819824,0.051029182970523834,0.0,0.25
1,24,0.0001,1.31775963306427,1.204164981842041,0.1135946586728096,0.125,0.25
1,25,0.0001,0.424110472202301,0.3570661246776581,0.06704433262348175,0.375,0.5
