epoch,batch,learning_rate,loss_total,loss_rot,loss_scale,mAP15,mAP30
1,0,0.0001,3.6731972694396973,1.0487689971923828,2.6244282722473145,0.125,0.125
1,1,0.0001,3.53395938873291,1.112831950187683,2.4211273193359375,0.0,0.125
1,2,0.0001,3.6167054176330566,1.0331858396530151,2.583519458770752,0.0,0.0
1,3,0.0001,2.589493751525879,0.7633676528930664,1.8261260986328125,0.125,0.375
1,4,0.0001,3.4696714878082275,1.152822732925415,2.3168487548828125,0.125,0.125
1,5,0.0001,3.250105142593384,1.075463056564331,2.1746420860290527,0.0,0.0
1,6,0.0001,3.012446403503418,0.9726830720901489,2.0397634506225586,0.125,0.125
1,7,0.0001,2.645251750946045,0.6968299150466919,1.948421835899353,0.125,0.25
1,8,0.0001,2.2703418731689453,0.7953716516494751,1.4749703407287598,0.25,0.375
1,9,0.0001,2.7137229442596436,1.0774283409118652,1.6362946033477783,0.125,0.25
1,10,0.0001,2.5169239044189453,1.1116001605987549,1.4053236246109009,0.125,0.125
1,11,0.0001,2.3767361640930176,1.1909027099609375,1.1858335733413696,0.0,0.0
1,12,0.0001,2.634056806564331,1.0729219913482666,1.5611348152160645,0.125,0.125
1,13,0.0001,1.7303130626678467,0.6261914372444153,1.1041215658187866,0.25,0.5
1,14,0.0001,1.6043567657470703,0.624640703201294,0.9797161221504211,0.125,0.5
1,15,0.0001,1.8207752704620361,1.1864848136901855,0.6342904567718506,0.0,0.125
1,16,0.0001,1.448265790939331,1.0091192722320557,0.43914657831192017,0.0,0.25
1,17,0.0001,1.4405943155288696,1.099057912826538,0.34153640270233154,0.125,0.125
1,18,0.0001,0.9826557636260986,0.6896152496337891,0.29304051399230957,0.25,0.5
1,19,0.0001,1.2308255434036255,1.0064878463745117,0.22433769702911377,0.125,0.25
1,20,0.0001,1.2474581003189087,1.1255820989608765,0.1218760535120964,0.125,0.125
1,21,0.0001,1.0779331922531128,1.0156296491622925,0.06230349838733673,0.0,0.25
1,22,0.0001,1.3187495470046997,1.2278423309326172,0.09090717881917953,0.0,0.0
1,23,0.0001,0.79597407579422,0.7348209023475647,0.06115317717194557,0.25,0.25
1,24,0.0001,1.1174490451812744,0.9644670486450195,0.15298204123973846,0.0,0.125
1,25,0.0001,1.1995398998260498,1.1422412395477295,0.05729866027832031,0.0,0.125
1,26,0.0001,0.8429738879203796,0.7846516370773315,0.0583222359418869,0.125,0.25
