epoch,batch,loss_total,loss_rot,loss_scale,mAP15,mAP30
1,0,0.6210465431213379,0.5820497274398804,0.03899681568145752,0.5,0.625
1,1,0.7005642056465149,0.6957063674926758,0.0048578474670648575,0.375,0.5
1,2,0.9360190629959106,0.9228833913803101,0.01313568651676178,0.375,0.375
1,3,0.2193102389574051,0.21229110658168793,0.007019132375717163,0.75,0.875
1,4,0.7396066784858704,0.7338050007820129,0.005801685154438019,0.5,0.5
1,5,0.7427071928977966,0.7353160381317139,0.00739117618650198,0.375,0.5
1,6,0.7589304447174072,0.7433378100395203,0.015592610463500023,0.375,0.5
1,7,0.3467855751514435,0.3043573498725891,0.04242823272943497,0.5,0.75
1,8,0.7927188277244568,0.7843854427337646,0.008333401754498482,0.375,0.375
1,9,1.0989655256271362,1.087794303894043,0.011171231046319008,0.25,0.25
1,10,0.47091323137283325,0.4545974135398865,0.016315802931785583,0.375,0.625
1,11,0.4132590591907501,0.40070420503616333,0.012554848566651344,0.625,0.75
1,12,0.5679578185081482,0.5505117177963257,0.01744609884917736,0.625,0.625
1,13,0.7797113656997681,0.7297725677490234,0.04993876814842224,0.5,0.5
1,14,0.5753331184387207,0.564293622970581,0.011039516888558865,0.625,0.625
1,15,0.5379765033721924,0.5320431590080261,0.005933322943747044,0.5,0.625
1,16,1.1292208433151245,1.1236590147018433,0.005561802536249161,0.0,0.25
1,17,0.5834503173828125,0.5765210390090942,0.0069293063133955,0.625,0.625
1,18,0.5652937889099121,0.5591146945953369,0.006179118528962135,0.625,0.625
1,19,0.7551590800285339,0.735810399055481,0.019348708912730217,0.5,0.5
1,20,0.6657717823982239,0.6532289981842041,0.01254277490079403,0.5,0.5
1,21,0.037217382341623306,0.02723091095685959,0.009986470453441143,0.75,1.0
1,22,0.602202296257019,0.5932813882827759,0.008920900523662567,0.5,0.5
1,23,0.7671141624450684,0.7573762536048889,0.009737901389598846,0.375,0.5
1,24,0.6748281121253967,0.6670401096343994,0.007787992246448994,0.25,0.5
1,25,0.9157614707946777,0.9114368557929993,0.004324585199356079,0.375,0.375
1,26,0.9237711429595947,0.9180583953857422,0.00571276992559433,0.375,0.375
1,27,1.093085527420044,1.083109736442566,0.009975846856832504,0.25,0.25
1,28,0.5283260941505432,0.5171422958374023,0.011183812282979488,0.625,0.625
1,29,1.1136720180511475,1.097799301147461,0.015872757881879807,0.125,0.25
1,30,0.9205618500709534,0.9129114151000977,0.007650451734662056,0.375,0.375
1,31,0.9764395952224731,0.9692343473434448,0.007205238100141287,0.25,0.25
1,32,0.3902873396873474,0.38208964467048645,0.008197703398764133,0.75,0.75
1,33,1.0938096046447754,1.08205246925354,0.011757174506783485,0.25,0.25
1,34,0.9433711767196655,0.9273502230644226,0.016020935028791428,0.125,0.375
1,35,0.9108015298843384,0.9055081009864807,0.005293447524309158,0.375,0.375
1,36,0.7603689432144165,0.7536836862564087,0.006685230880975723,0.375,0.375
1,37,0.41275712847709656,0.4075208902359009,0.0052362242713570595,0.625,0.625
1,38,0.9328550696372986,0.925743043422699,0.007112027145922184,0.25,0.375
1,39,0.5941365957260132,0.5894225239753723,0.004714099690318108,0.375,0.625
1,40,0.56642746925354,0.5562207698822021,0.010206676088273525,0.5,0.5
1,41,0.5633382797241211,0.5582064986228943,0.005131767131388187,0.5,0.625
1,42,0.7471355199813843,0.7274710536003113,0.0196644589304924,0.5,0.5
1,43,0.7513383626937866,0.7369303703308105,0.014407982118427753,0.5,0.5
1,44,0.759406566619873,0.7378956079483032,0.02151094377040863,0.5,0.5
1,45,0.5646214485168457,0.5548923015594482,0.009729130193591118,0.625,0.625
1,46,0.9252220392227173,0.918655514717102,0.0065664974972605705,0.375,0.375
1,47,0.5796017646789551,0.5616146922111511,0.017987094819545746,0.5,0.625
1,48,0.7425243258476257,0.7317929863929749,0.01073136180639267,0.375,0.5
1,49,0.5539250373840332,0.5484838485717773,0.005441168323159218,0.625,0.625
1,50,0.5763407349586487,0.5579835772514343,0.018357152119278908,0.625,0.625
1,51,0.7802000045776367,0.7718274593353271,0.008372562006115913,0.375,0.5
1,52,0.4018076956272125,0.390421062707901,0.0113866301253438,0.625,0.75
1,53,0.5679295659065247,0.554341733455658,0.013587831519544125,0.625,0.625
1,54,0.7529023289680481,0.7432515621185303,0.009650765918195248,0.5,0.5
