epoch,batch,learning_rate,loss_total,loss_rot,loss_scale,mAP15,mAP30
1,0,0.0001,2.915151357650757,0.9505006670951843,1.9646506309509277,0.125,0.125
1,1,0.0001,2.880678653717041,0.7564941644668579,2.1241843700408936,0.25,0.25
1,2,0.0001,2.7339186668395996,0.7173076868057251,2.016611099243164,0.25,0.375
1,3,0.0001,3.0104856491088867,1.0358136892318726,1.9746718406677246,0.0,0.0
1,4,0.0001,2.9649696350097656,1.181923270225525,1.7830464839935303,0.0,0.125
1,5,0.0001,2.7691962718963623,1.1017093658447266,1.6674869060516357,0.0,0.125
1,6,0.0001,1.9222428798675537,0.8099604249000549,1.1122825145721436,0.125,0.375
1,7,0.0001,2.3857221603393555,0.9631469249725342,1.4225752353668213,0.0,0.0
1,8,0.0001,1.5761003494262695,0.8310094475746155,0.7450909614562988,0.25,0.375
1,9,0.0001,1.8302433490753174,1.1357910633087158,0.6944522261619568,0.0,0.125
1,10,0.0001,1.4587730169296265,0.7442480325698853,0.7145249843597412,0.125,0.125
1,11,0.0001,1.3811718225479126,0.9141937494277954,0.4669780731201172,0.25,0.25
1,12,0.0001,1.2582411766052246,0.7721511125564575,0.4860900044441223,0.0,0.375
1,13,0.0001,1.224777102470398,1.0445798635482788,0.18019723892211914,0.0,0.0
1,14,0.0001,1.2001746892929077,1.0268714427947998,0.17330321669578552,0.125,0.125
1,15,0.0001,1.2798603773117065,1.1337536573410034,0.14610669016838074,0.0,0.125
1,16,0.0001,0.7221934795379639,0.6486321687698364,0.07356131076812744,0.125,0.25
1,17,0.0001,1.0626437664031982,0.9223669767379761,0.14027680456638336,0.0,0.0
1,18,0.0001,1.4493680000305176,1.1029777526855469,0.3463902473449707,0.125,0.125
1,19,0.0001,1.2424482107162476,1.129940390586853,0.11250779032707214,0.0,0.125
1,20,0.0001,0.8464560508728027,0.7960335612297058,0.05042249336838722,0.0,0.25
1,21,0.0001,1.1242201328277588,1.0750060081481934,0.049214158207178116,0.0,0.125
